Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,6.125,5.8125,6.0,5.875,138300,5.875
2000-01-04,6.1875,5.9375,6.0,6.0,135100,6.0
2000-01-05,6.25,6.0625,6.125,6.1875,187200,6.1875
2000-01-06,6.25,6.0,6.25,6.1875,107200,6.1875
2000-01-07,6.25,5.75,6.1875,5.9375,78900,5.9375
2000-01-10,6.1875,5.9375,6.0,6.1875,103400,6.1875
2000-01-11,6.1875,5.5,6.1875,5.5,74300,5.5
2000-01-12,5.875,5.5,5.5,5.8125,45200,5.8125
2000-01-13,6.0,5.625,5.9375,5.6875,45300,5.6875
2000-01-14,5.9375,5.6875,5.75,5.8125,47000,5.8125
2000-01-18,6.0,5.6875,5.9375,6.0,43500,6.0
2000-01-19,6.0,5.75,6.0,5.9375,58100,5.9375
2000-01-20,6.0,5.625,5.9375,5.875,49000,5.875
2000-01-21,5.875,5.625,5.75,5.6875,37800,5.6875
2000-01-24,5.8125,5.0,5.8125,5.5,105000,5.5
2000-01-25,5.4375,5.0625,5.375,5.3125,54200,5.3125
2000-01-26,5.4375,5.0625,5.4375,5.25,22300,5.25
2000-01-27,5.25,4.8125,5.1875,4.8125,84100,4.8125
2000-01-28,4.9375,4.5,4.75,4.6875,47400,4.6875
2000-01-31,4.5625,4.3125,4.5625,4.375,27600,4.375
2000-02-01,4.375,4.125,4.3125,4.1875,56700,4.1875
2000-02-02,4.4375,4.0625,4.1875,4.25,38600,4.25
2000-02-03,5.0,4.125,4.25,5.0,43900,5.0
2000-02-04,5.0,4.75,5.0,4.9375,44800,4.9375
2000-02-07,4.875,4.5,4.8125,4.6875,22500,4.6875
2000-02-08,4.625,4.3125,4.5625,4.4375,22700,4.4375
2000-02-09,4.4375,4.1875,4.1875,4.4375,51100,4.4375
2000-02-10,5.0,4.375,4.375,5.0,64700,5.0
2000-02-11,5.125,4.625,5.0,4.75,19800,4.75
2000-02-14,4.9375,4.5,4.625,4.625,21300,4.625
2000-02-15,4.75,4.25,4.625,4.375,40900,4.375
2000-02-16,4.4375,4.125,4.4375,4.1875,52900,4.1875
2000-02-17,4.375,4.125,4.25,4.3125,39400,4.3125
2000-02-18,4.375,4.125,4.375,4.1875,27700,4.1875
2000-02-22,4.1875,4.0,4.125,4.0625,53300,4.0625
2000-02-23,4.1875,4.0,4.1875,4.0625,40400,4.0625
2000-02-24,4.25,4.0,4.0625,4.0,50800,4.0
2000-02-25,4.0625,3.875,4.0625,3.875,65600,3.875
2000-02-28,5.0,3.9375,4.0625,4.9375,116000,4.9375
2000-02-29,5.5,5.0,5.0,5.375,165200,5.375
2000-03-01,5.3125,4.5,5.25,5.0,111500,5.0
2000-03-02,4.9375,4.25,4.8125,4.6875,76500,4.6875
2000-03-03,5.3125,4.75,4.8125,5.1875,92300,5.1875
2000-03-06,6.0625,5.25,5.5,6.0,323700,6.0
2000-03-07,6.1875,5.3125,6.0625,5.75,150300,5.75
2000-03-08,5.875,5.375,5.6875,5.5,34800,5.5
2000-03-09,5.9375,5.25,5.5,5.6875,45500,5.6875
2000-03-10,5.9375,5.5625,5.6875,5.75,57700,5.75
2000-03-13,5.75,5.25,5.625,5.5625,128800,5.5625
2000-03-14,6.0,5.5625,5.6875,5.75,79400,5.75
2000-03-15,5.75,5.25,5.75,5.625,41400,5.625
2000-03-16,5.8125,5.375,5.625,5.8125,28200,5.8125
2000-03-17,5.875,5.625,5.6875,5.6875,55500,5.6875
2000-03-20,5.75,5.375,5.75,5.375,72700,5.375
2000-03-21,5.6875,5.125,5.375,5.6875,56100,5.6875
2000-03-22,5.6875,5.5625,5.5625,5.6875,40000,5.6875
2000-03-23,5.6875,5.3125,5.5625,5.375,57200,5.375
2000-03-24,5.75,5.25,5.3125,5.75,81100,5.75
2000-03-27,5.9375,5.6875,5.875,5.75,73000,5.75
2000-03-28,6.1875,5.8125,5.875,5.875,321500,5.875
2000-03-29,6.0,5.5625,6.0,5.875,43500,5.875
2000-03-30,5.9375,5.5,5.875,5.75,39400,5.75
2000-03-31,5.9375,5.125,5.75,5.875,87300,5.875
2000-04-03,6.375,5.8125,5.9375,6.375,136600,6.375
2000-04-04,6.625,5.25,6.5,6.0625,189600,6.0625
2000-04-05,6.0,5.625,5.9375,5.875,121300,5.875
2000-04-06,6.9375,6.0,6.0,6.6875,409900,6.6875
2000-04-07,8.9375,6.6875,6.8125,8.0,463800,8.0
2000-04-10,8.75,6.625,8.375,6.6875,262300,6.6875
2000-04-11,7.375,6.125,6.6875,7.0625,128000,7.0625
2000-04-12,7.125,6.5625,7.125,6.625,35200,6.625
2000-04-13,6.8125,6.0,6.6875,6.0,114900,6.0
2000-04-14,6.1875,5.25,5.9375,5.5,126200,5.5
2000-04-17,6.1875,5.4375,5.4375,5.8125,139200,5.8125
2000-04-18,5.9375,5.25,5.9375,5.9375,102500,5.9375
2000-04-19,5.9375,5.5625,5.6875,5.875,18000,5.875
2000-04-20,5.875,5.5,5.875,5.5625,25800,5.5625
2000-04-24,5.5,5.25,5.4375,5.3125,59200,5.3125
2000-04-25,5.4375,5.0,5.375,5.0,51000,5.0
2000-04-26,5.375,5.0,5.0,5.25,60400,5.25
2000-04-27,5.375,5.125,5.25,5.375,8500,5.375
2000-04-28,5.625,5.375,5.375,5.375,28800,5.375
2000-05-01,5.75,5.0625,5.3125,5.75,47400,5.75
2000-05-02,5.75,5.0625,5.75,5.0625,49600,5.0625
2000-05-03,5.25,5.0,5.125,5.125,52000,5.125
2000-05-04,5.1875,5.0625,5.125,5.0625,17000,5.0625
2000-05-05,5.1875,4.9375,4.9375,5.0625,30800,5.0625
2000-05-08,5.0,4.75,5.0,4.875,37200,4.875
2000-05-09,4.8125,4.375,4.75,4.375,62600,4.375
2000-05-10,4.75,4.4375,4.5,4.6875,37100,4.6875
2000-05-11,4.9375,4.6875,4.6875,4.8125,11300,4.8125
2000-05-12,4.9375,4.5,4.9375,4.5,30800,4.5
2000-05-15,4.75,4.5,4.5,4.75,37500,4.75
2000-05-16,4.875,4.5,4.875,4.625,23900,4.625
2000-05-17,4.875,4.4375,4.5625,4.4375,51500,4.4375
2000-05-18,4.5625,4.3125,4.5625,4.375,24900,4.375
2000-05-19,4.375,4.3125,4.375,4.3125,57700,4.3125
2000-05-22,4.3125,4.0,4.3125,4.0625,47700,4.0625
2000-05-23,4.1875,3.875,4.0,3.875,62000,3.875
2000-05-24,4.0625,3.875,3.875,3.875,106100,3.875
2000-05-25,4.0,3.625,3.875,3.8125,118000,3.8125
2000-05-26,3.9375,3.25,3.9375,3.25,96900,3.25
